Player,Team,PassingAtt,Completions,PassingYds,PassingTD,Interceptions,RushingAtt,RushingYds,RushingTD,FumblesLost,Pos,Receptions,ReceivingYds,ReceivingTD
Josh Allen,BUF,578.1,365.0,4300.1,32.3,14.2,116.7,661.0,6.3,4.2,QB,0.0,0.0,0.0
Patrick Mahomes II,KC,609.3,405.2,4826.7,37.4,11.2,64.8,351.8,3.2,1.9,QB,0.0,0.0,0.0
Jalen Hurts,PHI,493.9,318.0,3822.6,23.7,10.1,157.7,801.1,11.0,2.9,QB,0.0,0.0,0.0
Lamar Jackson,BAL,481.8,305.9,3488.9,25.6,11.6,148.0,938.4,5.5,3.0,QB,0.0,0.0,0.0
Joe Burrow,CIN,591.3,402.0,4589.9,32.7,12.9,63.8,269.3,3.7,2.3,QB,0.0,0.0,0.0
Justin Fields,CHI,410.7,252.7,2927.3,20.4,12.9,160.2,1066.2,6.8,3.5,QB,0.0,0.0,0.0
Justin Herbert,LAC,627.2,421.4,4592.8,30.1,12.7,57.2,220.9,2.0,2.0,QB,0.0,0.0,0.0
Deshaun Watson,CLE,503.8,324.0,3850.6,24.7,11.0,97.1,485.8,4.1,1.8,QB,0.0,0.0,0.0
Dak Prescott,DAL,552.1,364.3,4120.7,29.2,13.8,58.8,251.4,2.4,3.1,QB,0.0,0.0,0.0
Trevor Lawrence,JAC,578.4,378.4,4088.5,26.9,12.2,62.5,285.3,3.9,5.2,QB,0.0,0.0,0.0
Kirk Cousins,MIN,593.0,395.1,4442.7,30.3,12.3,31.6,92.1,1.5,2.8,QB,0.0,0.0,0.0
Daniel Jones,NYG,515.6,335.4,3471.2,20.8,10.0,109.3,636.5,4.9,4.1,QB,0.0,0.0,0.0
Geno Smith,SEA,544.4,370.7,4049.8,27.1,11.3,62.2,323.2,2.0,3.5,QB,0.0,0.0,0.0
Aaron Rodgers,NYJ,559.3,361.9,4060.8,28.1,8.7,35.5,121.5,1.5,2.6,QB,0.0,0.0,0.0
Russell Wilson,DEN,510.8,321.7,3791.8,23.9,10.9,63.4,317.3,2.6,2.1,QB,0.0,0.0,0.0
Tua Tagovailoa,MIA,524.4,346.0,4072.0,27.0,12.0,42.3,131.7,1.6,1.8,QB,0.0,0.0,0.0
Jared Goff,DET,568.6,373.5,4222.3,27.6,11.0,31.2,80.7,1.2,3.5,QB,0.0,0.0,0.0
Anthony Richardson,IND,488.1,301.5,3208.9,18.1,13.2,135.6,610.8,4.2,2.3,QB,0.0,0.0,0.0
Derek Carr,NO,510.4,335.2,3937.2,23.7,11.8,34.5,116.5,0.9,2.6,QB,0.0,0.0,0.0
Matthew Stafford,LAR,529.7,351.9,3997.7,24.5,13.2,29.9,71.0,0.9,2.8,QB,0.0,0.0,0.0
Jordan Love,GB,544.1,344.2,3812.0,23.2,14.8,43.5,168.5,1.5,2.6,QB,0.0,0.0,0.0
Kenny Pickett,PIT,502.2,316.9,3309.4,17.5,12.4,67.0,421.2,3.6,1.5,QB,0.0,0.0,0.0
Bryce Young,CAR,525.1,331.2,3665.0,20.5,12.9,51.1,200.6,1.6,2.3,QB,0.0,0.0,0.0
Brock Purdy,SF,431.2,281.8,3346.8,23.7,9.8,36.2,107.0,2.1,1.4,QB,0.0,0.0,0.0
Jimmy Garoppolo,LV,486.3,321.4,3575.1,21.5,11.9,30.5,67.0,1.5,2.3,QB,0.0,0.0,0.0
Ryan Tannehill,TEN,452.5,294.2,3268.4,19.0,10.9,41.3,162.7,2.3,2.1,QB,0.0,0.0,0.0
C.J. Stroud,HOU,512.0,320.9,3402.6,18.9,14.1,49.4,173.7,1.4,2.4,QB,0.0,0.0,0.0
Mac Jones,NE,494.2,323.4,3443.3,18.9,13.4,50.8,149.7,1.2,2.1,QB,0.0,0.0,0.0
Kyler Murray,ARI,432.5,285.1,2779.4,14.2,9.7,80.9,428.1,3.0,1.9,QB,0.0,0.0,0.0
Sam Howell,WAS,477.0,297.9,3056.4,17.0,12.3,52.8,219.0,1.8,2.4,QB,0.0,0.0,0.0
Desmond Ridder,ATL,437.3,269.6,2911.6,16.4,10.2,38.8,169.0,1.4,3.0,QB,0.0,0.0,0.0
Baker Mayfield,TB,458.8,281.8,2996.3,15.9,11.4,34.5,123.9,1.1,2.1,QB,0.0,0.0,0.0
Jacoby Brissett,WAS,193.4,112.4,1252.4,5.1,3.9,23.0,90.7,0.8,1.5,QB,0.0,0.0,0.0
Kyle Trask,TB,228.7,138.3,1375.3,6.0,6.5,18.8,50.5,0.2,1.2,QB,0.0,0.0,0.0
Colt McCoy,ARI,181.1,118.2,1264.1,4.7,4.7,19.1,63.3,0.5,1.0,QB,0.0,0.0,0.0
Will Levis,TEN,134.9,83.3,979.1,4.1,4.5,18.5,61.3,0.3,0.9,QB,0.0,0.0,0.0
Trey Lance,SF,126.5,77.8,802.5,3.1,3.5,23.1,94.2,0.6,0.8,QB,0.0,0.0,0.0
Brian Hoyer,LV,98.1,59.5,742.8,4.0,4.0,10.4,32.5,0.2,0.8,QB,0.0,0.0,0.0
Taylor Heinicke,ATL,99.0,60.6,704.7,3.8,3.9,18.1,51.0,0.2,1.2,QB,0.0,0.0,0.0
Gardner Minshew II,IND,74.2,46.6,665.1,2.7,2.3,11.9,41.3,0.2,1.2,QB,0.0,0.0,0.0
Mike White,MIA,94.6,56.6,606.9,2.8,3.7,12.6,20.3,0.1,0.6,QB,0.0,0.0,0.0
Bailey Zappe,NE,100.3,61.3,598.8,2.4,3.6,12.0,22.4,0.1,1.1,QB,0.0,0.0,0.0
Clayton Tune,ARI,107.3,64.4,641.2,1.1,3.9,16.0,43.4,0.3,1.1,QB,0.0,0.0,0.0
Sam Darnold,SF,109.5,63.5,529.9,2.1,3.6,14.6,40.6,0.1,1.1,QB,0.0,0.0,0.0
Davis Mills,HOU,84.6,49.6,516.0,1.6,4.0,14.5,31.7,0.2,0.6,QB,0.0,0.0,0.0
Tyrod Taylor,NYG,42.0,27.2,285.9,2.0,1.3,14.3,59.2,0.2,0.3,QB,0.0,0.0,0.0
Marcus Mariota,PHI,54.6,34.3,325.4,1.6,1.2,15.4,48.8,0.3,0.4,QB,0.0,0.0,0.0
Mitch Trubisky,PIT,61.1,40.3,374.1,1.6,1.7,9.0,26.9,0.3,0.2,QB,0.0,0.0,0.0
Tyler Huntley,BAL,52.6,33.1,312.3,1.4,1.4,19.8,59.4,0.2,0.5,QB,0.0,0.0,0.0
Andy Dalton,CAR,65.3,40.6,406.4,1.9,2.4,7.3,15.6,0.1,0.4,QB,0.0,0.0,0.0
Jarrett Stidham,DEN,60.3,34.3,349.1,2.2,2.3,5.3,10.9,0.1,0.4,QB,0.0,0.0,0.0
Brett Rypien,LAR,57.4,32.4,430.8,2.0,5.6,26.2,27.2,0.1,0.9,QB,0.0,0.0,0.0
Sean Clifford,GB,53.2,32.8,374.3,1.6,2.6,8.8,20.0,0.2,0.6,QB,0.0,0.0,0.0
Hendon Hooker,DET,105.3,62.0,573.8,0.0,5.4,20.6,43.1,0.2,1.6,QB,0.0,0.0,0.0
Blaine Gabbert,KC,51.9,30.5,337.6,1.7,2.6,11.2,21.2,0.1,0.5,QB,0.0,0.0,0.0
Nick Mullens,MIN,45.8,34.4,339.9,1.9,2.1,5.0,8.8,0.1,0.7,QB,0.0,0.0,0.0
Teddy Bridgewater,DET,61.1,33.1,352.3,1.2,1.6,4.9,14.0,0.1,0.2,QB,0.0,0.0,0.0
Trevor Siemian,CIN,68.6,41.6,347.6,1.7,2.7,11.7,17.3,0.1,0.5,QB,0.0,0.0,0.0
P.J. Walker,CHI,85.7,43.6,369.3,1.5,4.0,9.9,21.6,0.1,0.4,QB,0.0,0.0,0.0
Joshua Dobbs,CLE,54.5,32.5,335.9,1.5,2.6,10.7,27.4,0.1,0.6,QB,0.0,0.0,0.0
Zach Wilson,NYJ,94.1,52.5,472.9,0.8,5.2,5.4,13.4,0.2,0.5,QB,0.0,0.0,0.0
Stetson Bennett,LAR,69.3,43.0,356.6,1.1,1.7,8.8,18.2,0.1,0.5,QB,0.0,0.0,0.0
Jameis Winston,NO,35.6,23.9,300.2,1.5,1.3,4.0,10.1,0.2,0.2,QB,0.0,0.0,0.0
Easton Stick,LAC,64.5,37.8,342.2,1.6,3.6,15.2,20.6,0.2,0.7,QB,0.0,0.0,0.0
C.J. Beathard,JAC,56.5,33.0,341.2,1.5,2.9,11.6,20.0,0.1,0.6,QB,0.0,0.0,0.0
Drew Lock,SEA,50.8,27.8,318.1,1.6,2.7,5.5,16.1,0.1,0.5,QB,0.0,0.0,0.0
Cooper Rush,DAL,36.1,22.4,271.2,1.5,1.2,2.9,6.6,0.1,0.2,QB,0.0,0.0,0.0
David Blough,ARI,87.0,52.0,307.6,1.2,2.0,7.0,12.8,0.0,0.5,QB,0.0,0.0,0.0
Kyle Allen,BUF,57.8,35.8,387.2,1.2,5.1,10.2,25.3,0.2,2.3,QB,0.0,0.0,0.0
Aidan O'Connell,LV,65.4,38.8,296.2,0.5,2.4,11.4,17.8,0.1,0.6,QB,0.0,0.0,0.0
Matt Barkley,BUF,38.7,23.5,214.7,1.0,1.2,3.1,4.7,0.1,0.3,QB,0.0,0.0,0.0
Malik Willis,TEN,79.6,45.5,311.8,0.5,3.4,16.1,22.0,0.0,0.6,QB,0.0,0.0,0.0
Dorian Thompson-Robinson,CLE,42.4,25.1,240.9,0.5,2.5,9.7,21.1,0.1,0.7,QB,0.0,0.0,0.0
Max Duggan,LAC,21.0,14.0,144.0,1.0,0.0,1.0,3.0,0.0,0.0,QB,0.0,0.0,0.0
Jaren Hall,MIN,19.0,13.0,141.0,1.0,0.0,1.0,3.0,0.0,0.0,QB,0.0,0.0,0.0
Tanner McKee,PHI,16.0,10.0,120.0,1.0,0.0,1.0,6.0,0.0,0.0,QB,0.0,0.0,0.0
Skylar Thompson,MIA,90.7,51.5,243.7,0.7,4.0,26.5,20.4,0.0,0.9,QB,0.0,0.0,0.0
Jake Haener,NO,15.0,10.0,117.0,1.0,0.0,1.0,4.0,0.0,0.0,QB,0.0,0.0,0.0
Mason Rudolph,PIT,51.2,34.9,122.3,0.5,1.2,17.7,14.2,0.0,0.0,QB,0.0,0.0,0.0
Case Keenum,HOU,119.6,59.1,225.4,0.3,1.3,10.0,0.6,0.0,0.8,QB,0.0,0.0,0.0
Matt Corral,CAR,68.8,40.2,197.3,0.1,2.6,18.4,19.2,0.1,0.7,QB,0.0,0.0,0.0
Sam Ehlinger,IND,20.8,11.6,100.1,1.5,7.1,30.3,44.5,0.0,1.6,QB,0.0,0.0,0.0
Shane Buechele,KC,0.0,0.0,34.0,0.1,0.2,0.0,0.2,0.0,0.0,QB,0.0,0.0,0.0
Nate Sudfeld,DET,0.0,0.0,26.3,0.1,0.1,0.0,1.7,0.0,0.0,QB,0.0,0.0,0.0
Tommy DeVito,NYG,0.0,0.0,23.1,0.1,0.1,0.0,0.1,0.0,0.0,QB,0.0,0.0,0.0
Will Grier,DAL,0.0,0.0,9.4,0.0,0.1,0.0,0.0,0.0,0.0,QB,0.0,0.0,0.0
Josh Johnson,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,0.0,0.0
Christian McCaffrey,SF,0.0,0.0,0.0,0.0,0.0,218.7,1011.6,7.5,0.5,RB,74.8,632.0,4.2
Austin Ekeler,LAC,0.0,0.0,0.0,0.0,0.0,191.4,862.8,9.4,1.5,RB,77.5,601.1,3.9
Nick Chubb,CLE,0.0,0.0,0.0,0.0,0.0,280.4,1373.8,9.1,1.1,RB,28.2,234.8,1.1
Derrick Henry,TEN,0.0,0.0,0.0,0.0,0.0,304.8,1336.1,9.2,1.8,RB,31.8,269.7,0.8
Josh Jacobs,LV,0.0,0.0,0.0,0.0,0.0,263.2,1228.8,9.8,1.2,RB,39.8,292.7,0.8
Bijan Robinson,ATL,0.0,0.0,0.0,0.0,0.0,247.9,1181.4,8.7,1.9,RB,40.6,337.2,2.1
Tony Pollard,DAL,0.0,0.0,0.0,0.0,0.0,222.8,1116.5,8.2,0.5,RB,45.5,378.5,2.2
Saquon Barkley,NYG,0.0,0.0,0.0,0.0,0.0,253.8,1133.9,7.9,0.7,RB,52.4,373.1,1.7
Justin Jefferson,MIN,0.0,0.0,0.0,0.0,0.0,3.7,19.0,0.3,0.3,WR,110.9,1523.7,8.1
Ja'Marr Chase,CIN,0.0,0.0,0.0,0.0,0.0,4.9,24.0,0.1,1.1,WR,105.9,1389.9,10.3
Jonathan Taylor,IND,0.0,0.0,0.0,0.0,0.0,276.6,1265.2,8.3,2.1,RB,32.5,229.9,1.0
Cooper Kupp,LAR,0.0,0.0,0.0,0.0,0.0,7.9,73.2,0.8,0.8,WR,108.0,1345.7,8.3
Tyreek Hill,MIA,0.0,0.0,0.0,0.0,0.0,9.2,55.7,0.6,0.4,WR,105.5,1395.3,7.8
Joe Mixon,CIN,0.0,0.0,0.0,0.0,0.0,228.7,954.9,7.4,0.6,RB,50.0,367.3,2.2
Aaron Jones,GB,0.0,0.0,0.0,0.0,0.0,201.0,990.8,5.6,1.3,RB,49.8,375.0,2.7
Najee Harris,PIT,0.0,0.0,0.0,0.0,0.0,263.2,1037.4,6.8,1.2,RB,39.3,267.4,2.2
CeeDee Lamb,DAL,0.0,0.0,0.0,0.0,0.0,8.7,55.8,0.3,0.3,WR,99.2,1294.5,7.7
Travis Kelce,KC,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.6,TE,105.5,1236.2,9.8
Davante Adams,LV,0.0,0.0,0.0,0.0,0.0,1.8,7.6,0.1,0.3,WR,93.6,1264.4,8.5
Stefon Diggs,BUF,0.0,0.0,0.0,0.0,0.0,0.6,3.2,0.0,0.4,WR,97.2,1273.8,8.4
Travis Etienne Jr.,JAC,0.0,0.0,0.0,0.0,0.0,218.6,1082.1,6.5,2.3,RB,35.1,285.7,0.9
Alexander Mattison,MIN,0.0,0.0,0.0,0.0,0.0,215.3,942.3,8.1,1.0,RB,34.4,235.9,1.6
Rhamondre Stevenson,NE,0.0,0.0,0.0,0.0,0.0,208.0,961.6,5.9,1.0,RB,51.8,365.0,1.4
Kenneth Walker III,SEA,0.0,0.0,0.0,0.0,0.0,228.7,1040.3,8.2,0.4,RB,25.9,173.7,0.6
A.J. Brown,PHI,0.0,0.0,0.0,0.0,0.0,0.3,3.8,0.0,0.6,WR,77.8,1195.2,8.3
James Conner,ARI,0.0,0.0,0.0,0.0,0.0,214.0,913.3,6.8,0.8,RB,41.0,297.9,1.3
Dameon Pierce,HOU,0.0,0.0,0.0,0.0,0.0,255.5,1069.8,5.8,2.1,RB,32.7,216.2,1.1
Breece Hall,NYJ,0.0,0.0,0.0,0.0,0.0,179.2,871.8,5.9,1.1,RB,36.2,324.1,1.8
Jahmyr Gibbs,DET,0.0,0.0,0.0,0.0,0.0,177.8,780.6,6.5,1.5,RB,44.5,351.0,2.0
Miles Sanders,CAR,0.0,0.0,0.0,0.0,0.0,216.0,1005.7,6.1,1.4,RB,29.8,209.4,0.7
Cam Akers,LAR,0.0,0.0,0.0,0.0,0.0,233.7,987.5,6.5,2.2,RB,25.1,206.6,0.7
Jaylen Waddle,MIA,0.0,0.0,0.0,0.0,0.0,4.1,34.0,0.3,0.7,WR,79.6,1155.3,6.4
Amon-Ra St. Brown,DET,0.0,0.0,0.0,0.0,0.0,8.0,62.7,0.5,0.2,WR,101.1,1139.8,5.7
J.K. Dobbins,BAL,0.0,0.0,0.0,0.0,0.0,173.8,888.7,6.8,0.4,RB,24.0,170.4,1.6
Isiah Pacheco,KC,0.0,0.0,0.0,0.0,0.0,196.7,936.9,6.8,1.9,RB,24.3,199.7,0.7
Rachaad White,TB,0.0,0.0,0.0,0.0,0.0,205.7,841.0,4.5,2.7,RB,48.1,341.5,1.9
Deebo Samuel,SF,0.0,0.0,0.0,0.0,0.0,43.3,257.0,2.4,1.4,WR,68.9,892.5,4.1
Garrett Wilson,NYJ,0.0,0.0,0.0,0.0,0.0,2.4,6.3,0.0,0.8,WR,83.5,1132.6,6.4
Tee Higgins,CIN,0.0,0.0,0.0,0.0,0.0,0.5,2.4,0.0,0.3,WR,80.5,1081.5,6.7
David Montgomery,DET,0.0,0.0,0.0,0.0,0.0,193.5,774.1,6.2,1.0,RB,33.6,278.5,1.1
Amari Cooper,CLE,0.0,0.0,0.0,0.0,0.0,0.5,1.6,0.0,0.1,WR,73.5,1031.6,7.0
Chris Olave,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.3,WR,81.3,1137.8,5.6
Christian Watson,GB,0.0,0.0,0.0,0.0,0.0,8.6,69.8,1.0,0.2,WR,69.2,958.3,6.0
DK Metcalf,SEA,0.0,0.0,0.0,0.0,0.0,0.1,1.1,0.0,0.8,WR,82.1,1018.4,7.2
Javonte Williams,DEN,0.0,0.0,0.0,0.0,0.0,178.3,821.4,4.8,1.6,RB,36.8,256.9,1.5
DeVonta Smith,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.6,WR,82.8,1049.9,6.4
James Cook,BUF,0.0,0.0,0.0,0.0,0.0,157.5,796.7,4.7,1.4,RB,35.1,263.2,1.7
Calvin Ridley,JAC,0.0,0.0,0.0,0.0,0.0,2.2,7.7,0.0,0.5,WR,80.4,1021.3,6.5
Jerry Jeudy,DEN,0.0,0.0,0.0,0.0,0.0,1.6,15.0,0.0,0.2,WR,72.8,1050.3,5.6
Alvin Kamara,NO,0.0,0.0,0.0,0.0,0.0,172.6,713.6,3.8,1.1,RB,42.1,370.2,1.8
DJ Moore,CHI,0.0,0.0,0.0,0.0,0.0,6.0,37.1,0.1,0.3,WR,67.0,940.8,6.4
Terry McLaurin,WAS,0.0,0.0,0.0,0.0,0.0,3.3,20.2,0.1,0.2,WR,73.8,1036.6,5.0
Mike Williams,LAC,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0.0,0.1,WR,70.9,988.3,6.0
Mike Evans,TB,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.1,WR,71.2,993.6,5.8
Keenan Allen,LAC,0.0,0.0,0.0,0.0,0.0,1.3,7.4,0.0,0.6,WR,89.6,992.8,5.6
DeAndre Hopkins,TEN,0.0,0.0,0.0,0.0,0.0,0.2,1.2,0.0,0.7,WR,78.1,991.6,5.3
AJ Dillon,GB,0.0,0.0,0.0,0.0,0.0,166.0,725.4,5.6,0.7,RB,25.0,198.3,0.7
Christian Kirk,JAC,0.0,0.0,0.0,0.0,0.0,3.5,21.0,0.1,0.5,WR,74.2,919.1,5.9
Brian Robinson Jr.,WAS,0.0,0.0,0.0,0.0,0.0,210.7,886.7,4.3,0.5,RB,16.2,105.0,0.7
Mark Andrews,BAL,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.1,0.2,TE,74.8,885.9,6.4
D'Andre Swift,PHI,0.0,0.0,0.0,0.0,0.0,118.2,556.4,4.8,0.8,RB,40.8,335.8,1.9
Khalil Herbert,CHI,0.0,0.0,0.0,0.0,0.0,161.8,803.7,4.6,0.4,RB,19.2,130.2,0.7
Tyler Lockett,SEA,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.6,WR,74.9,895.5,5.8
Brandon Aiyuk,SF,0.0,0.0,0.0,0.0,0.0,2.7,18.3,0.2,0.6,WR,64.7,890.3,5.3
Drake London,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.8,WR,75.9,937.1,5.5
Chris Godwin,TB,0.0,0.0,0.0,0.0,0.0,2.7,13.4,0.1,0.7,WR,89.7,967.5,4.1
Marquise Brown,ARI,0.0,0.0,0.0,0.0,0.0,1.4,8.3,0.0,0.3,WR,77.8,910.5,4.8
Gabe Davis,BUF,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.4,WR,51.1,818.5,6.5
